SystemName,City,State,ResponseId
Biki,Honolulu,HI,R_dniWFD56uD0gich
Bluebikes,"Boston, Cambridge, Somerville, Brookline (and coming soon: Everett)",MA,R_4OfIoyBmqsu7vpL
Boise GreenBike,Boise,ID,R_3MDnumx5TFN6Jo1
Capital Bikeshare MD,Montgomery County MD,MD,R_2wvOC2ba99iQTQe
CDPHP Cycle!,"Capital District (Albany, Troy, Schenectady, Saratoga Springs)",NY,R_2qrQwhqjXkQFFWt
Ford GoBike,SF Bay Area,CA,R_2lcAv534entVhmx
Howard County Bikeshare,Ellicott City,MD,R_7Om57iRdCavXZHH
Mountain Rides Bike Share,Blaine County,ID,R_1QzxpGFeoWLFXAL
mBike,"College Park, and the campus of the University of Maryland",MD,R_2S0HGAoK2UlkTBI
Metro Bike Share,Los Angeles County,CA,R_OP7pmORxan795RL
Nashville B-cycle,Nashville,TN,R_1qVgp9RrPYNDnNq
SoBi Hamilton,Hamilton,ON,R_3iCivPAsuaU4LpY
WE-cycle,Aspen and Basalt,CO,R_27DLk35chfAMkL6
Zagster and Pace,Boston and all across US,MA + 37 others,R_2f3sDlUpL8JJb9s
