GEOID,NAME,variable,estimate,moe
1600100,"Aberdeen city, Idaho",B01003_001,2202,407
1600100,"Aberdeen city, Idaho",B03002_003,720,168
1600100,"Aberdeen city, Idaho",B03002_012,1452,410
1600100,"Aberdeen city, Idaho",B11016_001,625,103
1600100,"Aberdeen city, Idaho",B17021_002,304,156
1600100,"Aberdeen city, Idaho",B19013_001,43683,3542
1600100,"Aberdeen city, Idaho",C16002_004,137,74
1600100,"Aberdeen city, Idaho",C16002_007,0,12
1600100,"Aberdeen city, Idaho",C16002_010,0,12
1600100,"Aberdeen city, Idaho",C16002_013,3,5
1600280,"Acequia city, Idaho",B01003_001,170,88
1600280,"Acequia city, Idaho",B03002_003,52,34
1600280,"Acequia city, Idaho",B03002_012,118,85
1600280,"Acequia city, Idaho",B11016_001,53,24
1600280,"Acequia city, Idaho",B17021_002,30,25
1600280,"Acequia city, Idaho",B19013_001,47083,23870
1600280,"Acequia city, Idaho",C16002_004,14,15
1600280,"Acequia city, Idaho",C16002_007,0,12
1600280,"Acequia city, Idaho",C16002_010,0,12
1600280,"Acequia city, Idaho",C16002_013,0,12
1601000,"Albion city, Idaho",B01003_001,327,88
1601000,"Albion city, Idaho",B03002_003,288,76
1601000,"Albion city, Idaho",B03002_012,39,45
1601000,"Albion city, Idaho",B11016_001,109,27
1601000,"Albion city, Idaho",B17021_002,37,30
1601000,"Albion city, Idaho",B19013_001,55938,13249
1601000,"Albion city, Idaho",C16002_004,0,12
1601000,"Albion city, Idaho",C16002_007,0,12
1601000,"Albion city, Idaho",C16002_010,0,12
1601000,"Albion city, Idaho",C16002_013,0,12
1601900,"American Falls city, Idaho",B01003_001,4324,13
1601900,"American Falls city, Idaho",B03002_003,2346,383
1601900,"American Falls city, Idaho",B03002_012,1818,388
1601900,"American Falls city, Idaho",B11016_001,1504,202
1601900,"American Falls city, Idaho",B17021_002,526,362
1601900,"American Falls city, Idaho",B19013_001,44213,6084
1601900,"American Falls city, Idaho",C16002_004,151,153
1601900,"American Falls city, Idaho",C16002_007,0,12
1601900,"American Falls city, Idaho",C16002_010,0,12
1601900,"American Falls city, Idaho",C16002_013,0,12
1601990,"Ammon city, Idaho",B01003_001,14998,39
1601990,"Ammon city, Idaho",B03002_003,13405,404
1601990,"Ammon city, Idaho",B03002_012,902,330
1601990,"Ammon city, Idaho",B11016_001,4966,237
1601990,"Ammon city, Idaho",B17021_002,853,325
1601990,"Ammon city, Idaho",B19013_001,62336,6581
1601990,"Ammon city, Idaho",C16002_004,0,19
1601990,"Ammon city, Idaho",C16002_007,0,19
1601990,"Ammon city, Idaho",C16002_010,0,19
1601990,"Ammon city, Idaho",C16002_013,0,19
1602935,"Arbon Valley CDP, Idaho",B01003_001,587,161
1602935,"Arbon Valley CDP, Idaho",B03002_003,450,125
1602935,"Arbon Valley CDP, Idaho",B03002_012,99,78
1602935,"Arbon Valley CDP, Idaho",B11016_001,234,64
1602935,"Arbon Valley CDP, Idaho",B17021_002,38,35
1602935,"Arbon Valley CDP, Idaho",B19013_001,46736,1626
1602935,"Arbon Valley CDP, Idaho",C16002_004,0,12
1602935,"Arbon Valley CDP, Idaho",C16002_007,0,12
1602935,"Arbon Valley CDP, Idaho",C16002_010,0,12
1602935,"Arbon Valley CDP, Idaho",C16002_013,0,12
1603160,"Arco city, Idaho",B01003_001,743,140
1603160,"Arco city, Idaho",B03002_003,728,137
1603160,"Arco city, Idaho",B03002_012,5,8
1603160,"Arco city, Idaho",B11016_001,310,54
1603160,"Arco city, Idaho",B17021_002,213,95
1603160,"Arco city, Idaho",B19013_001,31607,7466
1603160,"Arco city, Idaho",C16002_004,0,12
1603160,"Arco city, Idaho",C16002_007,0,12
1603160,"Arco city, Idaho",C16002_010,0,12
1603160,"Arco city, Idaho",C16002_013,0,12
1603340,"Arimo city, Idaho",B01003_001,368,75
1603340,"Arimo city, Idaho",B03002_003,335,61
1603340,"Arimo city, Idaho",B03002_012,7,6
1603340,"Arimo city, Idaho",B11016_001,120,25
1603340,"Arimo city, Idaho",B17021_002,54,38
1603340,"Arimo city, Idaho",B19013_001,58750,15567
1603340,"Arimo city, Idaho",C16002_004,0,12
1603340,"Arimo city, Idaho",C16002_007,0,12
