GEOID,NAME,variable,estimate,moe,city,state
2603000,"Ann Arbor city, Michigan",B01003_001,119303,55,Ann Arbor,MI
2603000,"Ann Arbor city, Michigan",B03002_003,81859,957,Ann Arbor,MI
2603000,"Ann Arbor city, Michigan",B03002_012,5228,551,Ann Arbor,MI
2603000,"Ann Arbor city, Michigan",B11016_001,47524,671,Ann Arbor,MI
2603000,"Ann Arbor city, Michigan",B17021_002,23967,1166,Ann Arbor,MI
2603000,"Ann Arbor city, Michigan",B19013_001,61247,1780,Ann Arbor,MI
2603000,"Ann Arbor city, Michigan",C16002_004,157,83,Ann Arbor,MI
2603000,"Ann Arbor city, Michigan",C16002_007,338,77,Ann Arbor,MI
2603000,"Ann Arbor city, Michigan",C16002_010,1641,233,Ann Arbor,MI
2603000,"Ann Arbor city, Michigan",C16002_013,99,57,Ann Arbor,MI
4805000,"Austin city, Texas",B01003_001,916906,144,Austin,TX
4805000,"Austin city, Texas",B03002_003,445269,3012,Austin,TX
4805000,"Austin city, Texas",B03002_012,316709,2724,Austin,TX
4805000,"Austin city, Texas",B11016_001,361257,1810,Austin,TX
4805000,"Austin city, Texas",B17021_002,138274,4754,Austin,TX
4805000,"Austin city, Texas",B19013_001,63717,778,Austin,TX
4805000,"Austin city, Texas",C16002_004,18388,854,Austin,TX
4805000,"Austin city, Texas",C16002_007,1313,304,Austin,TX
4805000,"Austin city, Texas",C16002_010,3216,400,Austin,TX
4805000,"Austin city, Texas",C16002_013,766,219,Austin,TX
606308,"Beverly Hills city, California",B01003_001,34506,40,Beverly Hills,CA
606308,"Beverly Hills city, California",B03002_003,27207,823,Beverly Hills,CA
606308,"Beverly Hills city, California",B03002_012,2004,405,Beverly Hills,CA
606308,"Beverly Hills city, California",B11016_001,14902,477,Beverly Hills,CA
606308,"Beverly Hills city, California",B17021_002,3186,671,Beverly Hills,CA
606308,"Beverly Hills city, California",B19013_001,103698,5633,Beverly Hills,CA
