city,pop,nhwht,hisp,hh,pov_p,medinc_h,limeng,pct_nwht,pct_hisp,pct_pov_p,pct_limeng_h
Los Angeles County,10105722,2676982,4893579,3295198,1688505,61015,435557,73.5102350925545,48.423843442358695,16.708405396467466,13.217931062109168
Blaine County,21583,16511,4535,8273,3180,58835,271,23.49997683361905,21.011907519807256,14.733818282907842,3.275716185180708
Montgomery County MD,1039198,467734,197242,369242,72085,103178,25167,54.99086795779052,18.980213587785965,6.936599185140849,6.815855184404808
Nashville,678322,382565,68326,273497,111103,53419,12432,43.60126901383119,10.072797285065205,16.379094294450127,4.5455708837756905
Birmingham,212265,48478,7332,90149,57730,33770,1251,77.16156690928791,3.454172849975267,27.19713565590182,1.3877025812820996
Huntsville,190501,111535,10509,81296,33458,51926,1603,41.451750909444044,5.516506475031627,17.56316239809765,1.9718067309584728
Tucson,530905,238457,228012,209906,121994,39617,11908,55.08480801650013,42.947796686789545,22.978498978159934,5.673015540289463
Beverly Hills,34506,27207,2004,14902,3186,103698,1658,21.152842983828897,5.807685619892192,9.233176838810643,11.126023352570124
Long Beach,470489,129957,201523,165001,88476,58314,12432,72.37831277670679,42.832669839252354,18.805115528737122,7.534499790910358
San Mateo,103500,44775,26475,38546,8197,103399,4053,56.739130434782616,25.579710144927535,7.919806763285024,10.51470969750428
Santa Monica,92495,60076,14828,46358,9798,86084,2892,35.04946213308828,16.03113681820639,10.593005027298773,6.238405453211959
Denver,678467,363712,207100,287262,100611,60098,13534,46.39208686642092,30.524697590302846,14.829166341177979,4.7113784628666515
Fort Collins,159150,128306,18726,61532,25683,60110,902,19.380458686773483,11.766258246936852,16.13760603204524,1.4659039199115906
Longmont,91730,62112,23520,35020,10920,66349,1129,32.28823721792216,25.6404665867219,11.90450234383517,3.223872073101085
Washington,672391,241901,71829,277985,111025,77649,9821,64.02375998488974,10.682623652012,16.511969969853848,3.532924438368977
Miami,443007,46415,319782,164734,112478,33999,54860,89.52273891834666,72.18441243592088,25.38966652897133,33.302171986353756
Orlando,269414,102760,79890,109468,51047,45436,9051,61.8579583837514,29.653247418471203,18.947419213552376,8.26816969342639
Atlanta,465230,173337,21450,192929,97629,51701,2766,62.7416546654343,4.610622702749178,20.985104142037272,1.433688040678177
Savannah,145094,52496,6946,53664,32269,39386,905,63.819317132341794,4.787241374557183,22.240065061270624,1.6864192009540848
Honolulu,350788,55980,24498,128935,39574,65707,17294,84.04164338574866,6.983705257876552,11.281457746559177,13.412960018614031
Boise,220859,182478,19133,88929,30511,54547,1774,17.37805568258482,8.662993131364354,13.814696254171213,1.9948498240169124
Chicago,2722586,890322,789713,1046789,550432,52497,88247,67.29866384386021,29.00598915883649,20.217249335741826,8.430256718402658
Columbus,46926,37080,2681,18873,5632,57535,549,20.981971614883008,5.713250649959511,12.001875293014534,2.908917501192179
Evansville,119806,95757,3583,51580,27001,36956,384,20.073285144316646,2.9906682469993155,22.53726858421114,0.7444746025591314
