SystemName,City,State,ResponseId,pop,nhwht,hisp,hh,pov_p,medinc_h,limeng,pct_nwht,pct_hisp,pct_pov_p,pct_limeng_h
Arbor Bike,Ann Arbor,MI,R_1fj682aSgNJoOe6,119303,81859,5228,47524,23967,61247,2235,31.38563154,4.382119477,20.08918468,4.702886962
Austin B-Cycle,Austin,TX,R_2tqXItmReuTTtvb,916906,445269,316709,361257,138274,63717,23683,51.43787913,34.54105437,15.08049898,6.55572072
Beverly Hills Bike Share,Beverly Hills,CA,R_3OqaoDaIKdSSqpV,34506,27207,2004,14902,3186,103698,1658,21.15284298,5.80768562,9.233176839,11.12602335
Bike Share ICT,Wichita,KS,R_3Hn7PXygvIPXUFM,389054,245499,65090,151665,64875,48982,5395,36.89847682,16.73032535,16.6750631,3.557181947
Bike Share ICT,Wichita,KS,R_3ffmjBpkDYyvKxx,389054,245499,65090,151665,64875,48982,5395,36.89847682,16.73032535,16.6750631,3.557181947
BikeMidland,Midland,MI,R_2fv2fSUvTg1AMOL,41958,36730,1292,17574,5052,58910,78,12.46007913,3.079269746,12.04061204,0.443837487
BIKETOWN,Portland,OR,R_2ZEK1koGCenddNP,630331,447488,61214,260949,100073,61532,10339,29.00745799,9.711405595,15.87626184,3.962076881
BIKETOWN,Portland,OR,R_2YmPoHRtArXmRno,630331,447488,61214,260949,100073,61532,10339,29.00745799,9.711405595,15.87626184,3.962076881
Biki,Honolulu,HI,R_dniWFD56uD0gich,350788,55980,24498,128935,39574,65707,17294,84.04164339,6.983705258,11.28145775,13.41296002
Blue Bikes,New Orleans,LA,R_eLJhxUsBNctiyCB,388182,118660,21448,154895,95346,38721,3519,69.43186443,5.525243314,24.5621899,2.271861584
Blue Bikes,New Orleans,LA,R_2D1SFKE6Mcos6Ay,388182,118660,21448,154895,95346,38721,3519,69.43186443,5.525243314,24.5621899,2.271861584
Bluebikes,"Boston, Cambridge, Somerville, Brookline (and coming soon: Everett)",MA,R_4OfIoyBmqsu7vpL,964492,488399,161000,380223,163789,70121.25738,41915,49.36204759,16.69272529,16.98189306,11.02379393
Boise GreenBike,Boise,ID,R_3MDnumx5TFN6Jo1,220859,182478,19133,88929,30511,54547,1774,17.37805568,8.662993131,13.81469625,1.994849824
Breeze Bike Share,Santa Monica,CA,R_eP6uA4Z2bwnOTN7,92495,60076,14828,46358,9798,86084,2892,35.04946213,16.03113682,10.59300503,6.238405453
Bublr Bikes,Milwaukee,WI,R_Desk5Wu7oShjUKB,599086,214553,110388,230463,159660,38289,10008,64.18661094,18.42606905,26.65059774,4.342562581
Capital Bikeshare,Washington,DC,R_2P6YlltGyOqtL5E,672391,241901,71829,277985,111025,77649,9821,64.02375998,10.68262365,16.51196997,3.532924438
