GEOID,NAME,variable,estimate,moe,city,state
2418750,"College Park city, Maryland",B01003_001,32186,49,College Park,MD
2418750,"College Park city, Maryland",B03002_003,16314,645,College Park,MD
2418750,"College Park city, Maryland",B03002_012,4008,516,College Park,MD
2418750,"College Park city, Maryland",B11016_001,7226,372,College Park,MD
2418750,"College Park city, Maryland",B17021_002,5661,695,College Park,MD
2418750,"College Park city, Maryland",B19013_001,64107,4223,College Park,MD
2418750,"College Park city, Maryland",C16002_004,83,61,College Park,MD
2418750,"College Park city, Maryland",C16002_007,121,92,College Park,MD
2418750,"College Park city, Maryland",C16002_010,341,119,College Park,MD
2418750,"College Park city, Maryland",C16002_013,10,16,College Park,MD
