GEOID,NAME,variable,estimate,moe,city,state
2426000,"Ellicott City CDP, Maryland",B01003_001,71737,1307,Ellicott City,MD
2426000,"Ellicott City CDP, Maryland",B03002_003,41228,990,Ellicott City,MD
2426000,"Ellicott City CDP, Maryland",B03002_012,2195,461,Ellicott City,MD
2426000,"Ellicott City CDP, Maryland",B11016_001,25198,396,Ellicott City,MD
2426000,"Ellicott City CDP, Maryland",B17021_002,3007,844,Ellicott City,MD
2426000,"Ellicott City CDP, Maryland",B19013_001,124059,3570,Ellicott City,MD
2426000,"Ellicott City CDP, Maryland",C16002_004,64,54,Ellicott City,MD
2426000,"Ellicott City CDP, Maryland",C16002_007,215,95,Ellicott City,MD
2426000,"Ellicott City CDP, Maryland",C16002_010,778,215,Ellicott City,MD
2426000,"Ellicott City CDP, Maryland",C16002_013,8,12,Ellicott City,MD
