GEOID,NAME,variable,estimate,moe,city,state
06037,"Los Angeles County, California",B01003_001,10105722,NA,Los Angeles County,CA
06037,"Los Angeles County, California",B03002_003,2676982,1326,Los Angeles County,CA
06037,"Los Angeles County, California",B03002_012,4893579,NA,Los Angeles County,CA
06037,"Los Angeles County, California",B11016_001,3295198,5018,Los Angeles County,CA
06037,"Los Angeles County, California",B17021_002,1688505,15160,Los Angeles County,CA
06037,"Los Angeles County, California",B19013_001,61015,262,Los Angeles County,CA
06037,"Los Angeles County, California",C16002_004,243565,2608,Los Angeles County,CA
06037,"Los Angeles County, California",C16002_007,55583,1812,Los Angeles County,CA
06037,"Los Angeles County, California",C16002_010,128591,2121,Los Angeles County,CA
06037,"Los Angeles County, California",C16002_013,7818,630,Los Angeles County,CA
