GEOID,NAME,variable,estimate,moe,city,state
47037,"Davidson County, Tennessee",B01003_001,678322,NA,Nashville,TN
47037,"Davidson County, Tennessee",B03002_003,382565,357,Nashville,TN
47037,"Davidson County, Tennessee",B03002_012,68326,NA,Nashville,TN
47037,"Davidson County, Tennessee",B11016_001,273497,1378,Nashville,TN
47037,"Davidson County, Tennessee",B17021_002,111103,3960,Nashville,TN
47037,"Davidson County, Tennessee",B19013_001,53419,741,Nashville,TN
47037,"Davidson County, Tennessee",C16002_004,6900,552,Nashville,TN
47037,"Davidson County, Tennessee",C16002_007,1270,293,Nashville,TN
47037,"Davidson County, Tennessee",C16002_010,1825,351,Nashville,TN
47037,"Davidson County, Tennessee",C16002_013,2437,454,Nashville,TN
