GEOID,NAME,variable,estimate,moe,city,state
1608830,"Boise City city, Idaho",B01003_001,220859,117,Boise,ID
1608830,"Boise City city, Idaho",B03002_003,182478,1663,Boise,ID
1608830,"Boise City city, Idaho",B03002_012,19133,1225,Boise,ID
1608830,"Boise City city, Idaho",B11016_001,88929,1108,Boise,ID
1608830,"Boise City city, Idaho",B17021_002,30511,1896,Boise,ID
1608830,"Boise City city, Idaho",B19013_001,54547,1481,Boise,ID
1608830,"Boise City city, Idaho",C16002_004,673,252,Boise,ID
1608830,"Boise City city, Idaho",C16002_007,319,123,Boise,ID
1608830,"Boise City city, Idaho",C16002_010,349,133,Boise,ID
1608830,"Boise City city, Idaho",C16002_013,433,159,Boise,ID
