GEOID,NAME,variable,estimate,moe,city,state
1571550,"Urban Honolulu CDP, Hawaii",B01003_001,350788,58,Honolulu,HI
1571550,"Urban Honolulu CDP, Hawaii",B03002_003,55980,1282,Honolulu,HI
1571550,"Urban Honolulu CDP, Hawaii",B03002_012,24498,1498,Honolulu,HI
1571550,"Urban Honolulu CDP, Hawaii",B11016_001,128935,1174,Honolulu,HI
1571550,"Urban Honolulu CDP, Hawaii",B17021_002,39574,1895,Honolulu,HI
1571550,"Urban Honolulu CDP, Hawaii",B19013_001,65707,1136,Honolulu,HI
1571550,"Urban Honolulu CDP, Hawaii",C16002_004,277,87,Honolulu,HI
1571550,"Urban Honolulu CDP, Hawaii",C16002_007,237,102,Honolulu,HI
1571550,"Urban Honolulu CDP, Hawaii",C16002_010,16565,713,Honolulu,HI
1571550,"Urban Honolulu CDP, Hawaii",C16002_013,215,113,Honolulu,HI
