GEOID,NAME,variable,estimate,moe,city,state
24031,"Montgomery County, Maryland",B01003_001,1039198,NA,Montgomery County,MD
24031,"Montgomery County, Maryland",B03002_003,467734,667,Montgomery County,MD
24031,"Montgomery County, Maryland",B03002_012,197242,NA,Montgomery County,MD
24031,"Montgomery County, Maryland",B11016_001,369242,1145,Montgomery County,MD
24031,"Montgomery County, Maryland",B17021_002,72085,3255,Montgomery County,MD
24031,"Montgomery County, Maryland",B19013_001,103178,792,Montgomery County,MD
24031,"Montgomery County, Maryland",C16002_004,9990,676,Montgomery County,MD
24031,"Montgomery County, Maryland",C16002_007,4623,439,Montgomery County,MD
24031,"Montgomery County, Maryland",C16002_010,8415,534,Montgomery County,MD
24031,"Montgomery County, Maryland",C16002_013,2139,307,Montgomery County,MD
